0.291,-0.061,0,0,-0.327,-0.065,0,0
0.291,-0.061,0,0,-0.327,-0.065,0,0
0.1410487,-0.07354944,-9.735565E-06,-0.001066667,-0.327,-0.0735492,0,-0.002133325
-0.008291407,-0.07355058,-0.000141717,-0.001066667,-0.327,-0.07354943,0,-0.002133333
-0.05806416,-0.07278487,0.0003194274,-0.001279242,-0.441678,-0.07358414,-0.00107453,-0.001066683
-0.2057662,-0.07355056,-0.0001401626,-0.001066667,-0.4470254,-0.07354944,-5.074325E-06,-0.001066667
-0.3564181,-0.07354944,-9.781052E-06,-0.001066667,-0.5970017,-0.07354943,-9.73721E-06,-0.001066667
-0.3684003,-0.07354973,7.085862E-05,-0.001066667,-0.5913262,0.03525048,-0.0001888718,-0.01546667
-0.5173394,-0.07355059,-0.0001413364,-0.001066667,-0.717307,-0.07336051,0.0003320525,-0.00104379
-0.657154,-0.07354944,4.890715E-06,-0.001066667,-0.7138642,-0.07357027,1.894101E-05,-0.002134837
-0.4759353,-0.07284336,0.000115375,-0.006346829,-0.7079238,0.0688909,2.488556E-05,-0.01406487
-0.6246529,-0.07355063,-0.0001411262,-0.001066669,-0.4589805,-0.03172467,0.000236236,0.001832432
-0.524893,-0.07354945,-4.844883E-06,-0.001066667,-0.3360807,-0.07336793,0.0001159701,-0.001061467
-0.3756254,-0.07355057,0.0001416482,-0.001066667,0.05340624,-0.0739046,0.001521973,-0.001751548
-0.2249661,-0.07354943,9.78153E-06,-0.001066667,0.06101365,-0.07354938,4.939089E-07,-0.002133332
-0.07496583,-0.07354943,9.738736E-06,-0.001066667,0.01693842,-0.03114942,1.298067E-05,-0.001333332
0.0743743,-0.07355059,0.0001417171,-0.001066667,0.2658225,-0.02474945,0.0002361798,-0.01973334
0.1328755,-0.07354945,-4.890775E-06,-0.001066667,0.3529585,-0.06429784,0.0001176387,0.006042345
-0.1119243,-0.07107105,-0.0001002543,-0.001187493,0.3050217,-0.07337166,4.848694E-06,-0.001066661
0.03752591,-0.0730162,9.703028E-06,-0.0005333358,0.7049161,-0.0333717,2.596307E-05,0.0005333323
0.1875257,-0.07301611,9.738713E-06,-0.0005333334,0.5554396,-0.07359867,-9.727139E-06,-0.002136979
0.3375257,-0.07301611,9.738724E-06,-0.0005333334,0.6568994,-0.07152701,-8.111393E-06,0.003265755
0.4875257,-0.07301611,9.738724E-06,-0.0005333334,0.6734834,-0.07390527,9.288902E-05,-0.003139629
0.1679676,-0.07003756,-0.0001171478,-0.004009604,0.6542755,-0.07354943,4.852708E-06,-0.001066667
0.3173334,-0.07354945,9.697545E-06,-0.001066667,0.610906,-0.07303436,-2.816748E-06,-0.0005344882
0.3861301,-0.07354943,-4.869356E-06,-0.001066667,0.3609731,-0.001346402,-1.622686E-05,0.0005668113
0.5360571,-0.07354943,9.733982E-06,-0.001066667,0.3608927,-0.07337128,-5.265919E-09,-0.001066268
0.6410764,-0.07354957,4.722749E-05,-0.001066667,0.368501,-0.07354944,-4.867781E-06,-0.001066667
0.6175759,-0.07354976,7.068508E-05,-0.001066669,0.1924008,-0.07355323,-0.0002630127,-0.001066666
0.468636,-0.07355058,-0.0001413373,-0.001066667,0.5892031,0.03524669,0.0003765475,-0.01546667
0.6172243,-0.07355057,0.0001410036,-0.001066667,0.5331548,-0.04626785,-5.318725E-05,-0.0009866679
0.291,-0.061,0,0,-0.327,-0.065,0,0
0.291,-0.061,0,0,-0.327,-0.065,0,0
0.1417084,-0.07355104,-0.0001416711,-0.001066699,-0.1777084,-0.07354025,0.0001416711,-0.002132813
0.142082,-0.07391253,0.0005512838,-0.0007629887,-0.3203068,-0.03130495,-0.001205747,-0.01194265
0.1381794,-0.06413858,0.0005181506,-0.00280613,-0.4696105,0.03331042,-0.001212111,-0.009438025
-0.008533771,-0.07355065,-0.0001392242,-0.001066673,-0.3263507,-0.06532634,0.000135947,-0.001159506
-0.1585183,-0.0735506,-0.0001423285,-0.001066667,-0.5479354,-0.0704734,-0.001280702,-0.01560886
-0.01452345,-0.02105523,0.001212193,-0.01127894,-0.697612,-0.06155181,-0.001212465,-0.01480492
-0.1576698,-0.07352962,-0.0001359466,-0.001074383,-0.5543539,-0.07310294,0.0001359454,-0.0005593366
-0.1322836,-0.07356838,0.0006656054,-0.001066671,-0.6969808,-0.05897376,-0.001205775,-0.01353943
-0.278263,-0.07355053,-0.0001385278,-0.001066667,-0.5537279,-0.07372777,0.000135977,-0.002946215
